Cod Produto,Nome Produto,Preco Lista,Preco,Base Preco,Ref Marca,Trade Policy,Skuid,Id Listapreco,Canal Venda,Data Alterado
175,Luvas Multiuso Forradas Tamanho G,9.1,,,,1,100,1,1,2023-05-17 22:44:12.660000
176,Luvas Multiuso Forradas Tamanho GG,9.1,,,,1,101,1,1,2023-05-17 22:44:12.660000
177,Esponja Esfrelux Mágica,5.9,,,,1,102,1,1,2023-05-17 22:44:12.660000
178,Caixa Com 6 Unidades De Escova Blue Hit 40 mm,342.7,,,,1,593,1,1,2023-05-17 22:44:12.660000
179,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Eucalipto,99.5,,,,1,671,1,1,2023-05-17 22:44:12.660000
180,Caixa Com 6 Unidades De Escova Blue Hit 35 mm,252.9,,,,1,594,1,1,2023-05-17 22:44:12.660000
181,Limpador Concentrado Perfumado Capim Limão,9.2,,,,1,672,1,1,2023-05-17 22:44:12.660000
182,Caixa Com 6 Unidades De Escova Blue Hit 25 mm,242.0,,,,1,595,1,1,2023-05-17 22:44:12.660000
183,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Capim Limão,99.5,,,,1,673,1,1,2023-05-17 22:44:12.660000
184,Caixa Com 6 Unidades De Escova Blue Hit 20 mm,212.4,,,,1,596,1,1,2023-05-17 22:44:12.660000
185,Caixa Com 6 Unidades De Escova Spiral Hit 40 mm,342.7,,,,1,597,1,1,2023-05-17 22:44:12.660000
186,Limpador Concentrado Perfumado Citronela,9.2,,,,1,674,1,1,2023-05-17 22:44:12.660000
187,Caixa Com 6 Unidades De Escova Spiral Hit 35 mm,183.1,,,,1,598,1,1,2023-05-17 22:44:12.660000
188,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Citronela,99.5,,,,1,675,1,1,2023-05-17 22:44:12.660000
189,Caixa Com 6 Unidades De Escova Spiral Hit 25 mm,145.8,,,,1,599,1,1,2023-05-17 22:44:12.660000
190,Caixa Com 6 Unidades De Escova Spiral Hit 20 mm,228.5,,,,1,600,1,1,2023-05-17 22:44:12.660000
191,Limpador Concentrado Perfumado Algas Marinhas,9.2,,,,1,676,1,1,2023-05-17 22:44:12.660000
192,Caixa Com 6 Unidades De Escova Miss Hit 40 mm,207.4,,,,1,601,1,1,2023-05-17 22:44:12.660000
193,Caixa Com 12 Unidades De Limpador Concentrado Perfumado Algas Marinhas,99.5,,,,1,677,1,1,2023-05-17 22:44:12.660000
194,Caixa Com 6 Unidades De Escova Miss Hit 35 mm,183.1,,,,1,602,1,1,2023-05-17 22:44:12.660000
195,Limpador Concentrado Perfumado Talco,9.2,,,,1,678,1,1,2023-05-17 22:44:12.660000
196,Caixa Com 6 Unidades De Escova Miss Hit 20 mm,212.4,,,,1,603,1,1,2023-05-17 22:44:12.660000
197,Caixa Com 6 Unidades De Escova Soft Hit 40 mm,193.3,,,,1,604,1,1,2023-05-17 22:44:12.660000
198,Caixa Com 6 Unidades De Escova Soft Hit 35 mm,176.7,,,,1,605,1,1,2023-05-17 22:44:12.660000
199,Caixa Com 6 Unidades De Escova Soft Hit 25 mm,195.5,,,,1,606,1,1,2023-05-17 22:44:12.660000
200,Caixa Com 6 Unidades De Escova Soft Hit 20 mm,130.5,,,,1,607,1,1,2023-05-17 22:44:12.660000
201,Caixa Com 6 Unidades De Escova Sensitive Hit 40 mm,186.3,,,,1,608,1,1,2023-05-17 22:44:12.660000
202,Caixa Com 6 Unidades De Escova Sensitive Hit 35 mm,252.9,,,,1,609,1,1,2023-05-17 22:44:12.660000
203,Caixa Com 6 Unidades De Escova Sensitive Hit 25 mm,133.2,,,,1,610,1,1,2023-05-17 22:44:12.660000
204,Caixa Com 6 Unidades De Escova Sensitive Hit 20 mm,212.9,,,,1,611,1,1,2023-05-17 22:44:12.660000
205,Limpador Perfumado Esfrelux Emoção 500 ml,3.7,,,,1,165,1,1,2023-05-17 22:44:12.660000
206,Limpador Perfumado Esfrelux Mistérios 500 ml,3.7,,,,1,166,1,1,2023-05-17 22:44:12.660000
207,Limpador Perfumado Esfrelux Frescor 500 ml,3.7,,,,1,167,1,1,2023-05-17 22:44:12.660000
208,Limpador Perfumado Esfrelux Sensualidade 1 L,5.9,,,,1,168,1,1,2023-05-17 22:44:12.660000
209,Limpador Perfumado Esfrelux Harmonia 1 L,5.9,,,,1,169,1,1,2023-05-17 22:44:12.660000
210,Pedra Sanitária Esfrelux Eucalipto 25 g,2.1,,,,1,170,1,1,2023-05-17 22:44:12.660000
211,Pedra Sanitária Esfrelux Floral 25 g,2.1,,,,1,171,1,1,2023-05-17 22:44:12.660000
212,Pedra Sanitária Esfrelux Jasmim 25 g,2.1,,,,1,172,1,1,2023-05-17 22:44:12.660000
213,Pedra Sanitária Esfrelux Lavanda 25 g,2.1,,,,1,173,1,1,2023-05-17 22:44:12.660000
214,Pedra Sanitária Esfrelux Mista Encartelada 25 g,2.1,,,,1,175,1,1,2023-05-17 22:44:12.660000
215,Limpador Perfumado Esfrelux Emoção 1 L,5.3,,,,1,176,1,1,2023-05-17 22:44:12.660000
216,Limpador Perfumado Esfrelux Mistérios 1 L,5.9,,,,1,177,1,1,2023-05-17 22:44:12.660000
217,Limpador Perfumado Esfrelux Frescor 1 L,5.3,,,,1,178,1,1,2023-05-17 22:44:12.660000
218,Naftalina Em Bolas Esfrelux 30 g,2.4,,,,1,179,1,1,2023-05-17 22:44:12.660000
219,Bloco Para Caixa Acoplada Blister Pinho Esfrelux 50 g,9.4,,,,1,180,1,1,2023-05-17 22:44:12.660000
220,Bloco Para Caixa Acoplada Blister Lavanda Esfrelux 50 g,9.4,,,,1,181,1,1,2023-05-17 22:44:12.660000
221,Evita Mofo Esfrelux Sonho De Infância 100 g,9.7,,,,1,182,1,1,2023-05-17 22:44:12.660000
222,Evita Mofo Esfrelux Lavanda 100 g,9.7,,,,1,183,1,1,2023-05-17 22:44:12.660000
223,Evita Mofo Esfrelux Neutro 100 g,9.7,,,,1,184,1,1,2023-05-17 22:44:12.660000
224,Evita Mofo Esfrelux Sonho De Infância 180 g,13.3,,,,1,185,1,1,2023-05-17 22:44:12.660000
225,Evita Mofo Esfrelux Lavanda 180 g,13.3,,,,1,186,1,1,2023-05-17 22:44:12.660000
226,Evita Mofo Esfrelux Neutro 180 g,13.3,,,,1,187,1,1,2023-05-17 22:44:12.660000
227,Saponáceo Cremoso Esfrelux Floral 300 ml,8.5,,,,1,188,1,1,2023-05-17 22:44:12.660000
228,Saponáceo Cremoso Esfrelux Lavanda 300 ml,8.5,,,,1,189,1,1,2023-05-17 22:44:12.660000
229,Saponáceo Cremoso Esfrelux Limão 300 ml,8.5,,,,1,190,1,1,2023-05-17 22:44:12.660000
230,Saponáceo Cremoso Esfrelux Cloro 300 ml,8.5,,,,1,191,1,1,2023-05-17 22:44:12.660000
231,Limpador Polidor De Alumínio E Inox Esfrelux 300 ml,8.5,,,,1,192,1,1,2023-05-17 22:44:12.660000
232,Limpa Box 4 em 1 Esfrelux 300 ml,9.7,,,,1,193,1,1,2023-05-17 22:44:12.660000
233,Escova Antares Madeira Cerdas em Nylon 40 mm,39.9,,,,1,194,1,1,2023-05-17 22:44:12.660000
234,Escova Antares Madeira Cerdas em Nylon 35 mm,34.6,,,,1,195,1,1,2023-05-17 22:44:12.660000
235,Kit Banheiro Plim Santa Maria,86.0,,,,1,542,1,1,2023-05-17 22:44:12.660000
236,Kit Lavando a Louça Santa Maria,48.4,,,,1,543,1,1,2023-05-17 22:44:12.660000
237,Caixa Com 24 Pacotes De Pano Limpa Tudo,176.9,,,,1,544,1,1,2023-05-17 22:44:12.660000
238,Caixa Com 24 Pacotes De Pano Limpa Tudo em Rolo,329.3,,,,1,545,1,1,2023-05-17 22:44:12.660000
239,Caixa Com 24 Pacotes De Pano Esfrelux Multiuso Dupla Face Unitário,108.9,,,,1,546,1,1,2023-05-17 22:44:12.660000
240,Caixa Com 6 Pacotes De Pano Esfrelux Microfibra com 3 Unidades Cada,108.9,,,,1,548,1,1,2023-05-17 22:44:12.660000
241,Caixa Com 6 Pacotes De Pano Esfrelux Microfibra Unitário Tamanho M,38.2,,,,1,549,1,1,2023-05-17 22:44:12.660000
242,Caixa Com 6 Pacotes De Pano Esfrelux Microfibra Unitário Tamanho G,111.2,,,,1,550,1,1,2023-05-17 22:44:12.660000
243,Caixa Com 12 Unidades De Limpador Esfrelux Multiuso Campestre 500 ml,36.9,,,,1,551,1,1,2023-05-17 22:44:12.660000
244,Caixa Com 6 Unidades De Escova Antares Madeira Cerdas em Nylon 40 mm,209.8,,,,1,552,1,1,2023-05-17 22:44:12.660000
245,Caixa Com 6 Unidades De Escova Antares Madeira Cerdas em Nylon 35 mm,175.3,,,,1,553,1,1,2023-05-17 22:44:12.660000
246,Caixa Com 6 Unidades De Escova Antares Madeira Cerdas em Nylon 25 mm,146.7,,,,1,554,1,1,2023-05-17 22:44:12.660000
247,Caixa Com 6 Unidades De Escova Antares Madeira Cerdas em Nylon 20 mm,133.0,,,,1,555,1,1,2023-05-17 22:44:12.660000
248,Caixa Com 6 Unidades De Escova Antares Madeira Cerdas em Nylon Meia Bola,71.2,,,,1,556,1,1,2023-05-17 22:44:12.660000
249,Caixa Com 6 Unidades De Escova Antares Flexível All Day Plástica,118.6,,,,1,559,1,1,2023-05-17 22:44:12.660000
250,Caixa Com 6 Unidades De Escova Bellatrix Raquete Quadrada,118.6,,,,1,560,1,1,2023-05-17 22:44:12.660000
251,Caixa Com 6 Unidades De Escova Bellatrix Raquete Oval,118.6,,,,1,561,1,1,2023-05-17 22:44:12.660000
252,Caixa Com 6 Unidades De Escova Bellatrix Raquete Oblonga,118.6,,,,1,562,1,1,2023-05-17 22:44:12.660000
253,Caixa Com 6 Unidades De Escova Bellatrix Esqueleto Jumbo,118.6,,,,1,563,1,1,2023-05-17 22:44:12.660000
254,Caixa Com 6 Unidades De Escova Bellatrix Esqueleto Retangular,118.6,,,,1,564,1,1,2023-05-17 22:44:12.660000
255,Caixa Com 6 Unidades De Escova Magic Colors Black Quadrada,95.6,,,,1,565,1,1,2023-05-17 22:44:12.660000
256,Kit Escovas De Cabelo Antares De Madeira e Plástica,76.8,,,,1,648,1,1,2023-05-17 22:44:12.660000
257,Caixa Com 6 Unidades De Escova Magic Colors White Quadrada,92.8,,,,1,566,1,1,2023-05-17 22:44:12.660000
258,Caixa Com 6 Unidades De Flotador Multiuso Esfrelux 2 L,87.2,,,,1,465,1,1,2023-05-17 22:44:12.660000
259,Caixa Com 6 Unidades De Amaciante Amacilux Toque de Pureza 2 L,36.4,,,,1,466,1,1,2023-05-17 22:44:12.660000
260,Caixa Com 6 Unidades De Amaciante Amacilux Aconchego e Conforto 2 L,36.4,,,,1,467,1,1,2023-05-17 22:44:12.660000
261,Caixa Com 6 Unidades De Amaciante Amacilux Maciez e Carinho 2 L,36.4,,,,1,468,1,1,2023-05-17 22:44:12.660000
262,Caixa Com 12 Unidades De Amaciante Amacilux Concentrado Salmon Soft 500 ml,68.8,,,,1,469,1,1,2023-05-17 22:44:12.660000
263,Caixa Com 12 Unidades De Amaciante Amacilux Concentrado Purple Soft 500 ml,68.8,,,,1,470,1,1,2023-05-17 22:44:12.660000
264,Caixa Com 12 Unidades De Facilitador De Passar Roupas Amacilux Spray 500 ml,107.8,,,,1,471,1,1,2023-05-17 22:44:12.660000
265,Caixa Com 12 Unidades De Facilitador De Passar Roupas Amacilux Refil 500 ml,49.0,,,,1,472,1,1,2023-05-17 22:44:12.660000
266,Água Sanitária Esfrelux 1 L Com 12 Unidades ATACADO,46.0,,,,1,473,1,1,2023-05-17 22:44:12.660000
267,Água Sanitária Esfrelux 2 L Com 6 Unidades ATACADO,42.1,,,,1,474,1,1,2023-05-17 22:44:12.660000
268,Caixa Com 12 Unidades De Alvejante Sem Cloro Esfrelux 1 L,49.0,,,,1,475,1,1,2023-05-17 22:44:12.660000
269,Caixa Com 12 Unidades De Limpa Vidros Esfrelux Spray 500 ml,107.8,,,,1,476,1,1,2023-05-17 22:44:12.660000
270,Caixa Com 12 Unidades De Limpa Vidros Esfrelux Refil 500 ml,39.1,,,,1,477,1,1,2023-05-17 22:44:12.660000
271,Caixa Com 12 Unidades De Desinfetante Esfrelux Lavanda 500 ml,24.1,,,,1,478,1,1,2023-05-17 22:44:12.660000
272,Caixa Com 12 Unidades De Desinfetante Esfrelux Floral 500 ml,24.1,,,,1,479,1,1,2023-05-17 22:44:12.660000
273,Caixa Com 12 Unidades De Desinfetante Esfrelux Citrus 500 ml,24.1,,,,1,480,1,1,2023-05-17 22:44:12.660000
274,Caixa Com 12 Unidades De Desinfetante Esfrelux Algas Marinhas 500 ml,24.1,,,,1,481,1,1,2023-05-17 22:44:12.660000
275,Caixa Com 12 Unidades De Desinfetante Esfrelux Pinho 500 ml,24.1,,,,1,482,1,1,2023-05-17 22:44:12.660000
276,Caixa Com 12 Unidades De Desinfetante Esfrelux Eucalipto 500 ml,24.1,,,,1,483,1,1,2023-05-17 22:44:12.660000
277,Caixa Com 6 Unidades De Desinfetante Esfrelux Lavanda 2 L,34.2,,,,1,484,1,1,2023-05-17 22:44:12.660000
278,Caixa Com 6 Unidades De Desinfetante Esfrelux Floral 2 L,34.2,,,,1,485,1,1,2023-05-17 22:44:12.660000
279,Caixa Com 6 Unidades De Desinfetante Esfrelux Citrus 2 L,34.2,,,,1,486,1,1,2023-05-17 22:44:12.660000
280,Caixa Com 6 Unidades De Desinfetante Esfrelux Algas Marinhas 2 L,34.2,,,,1,487,1,1,2023-05-17 22:44:12.660000
281,Caixa Com 12 Rolos De Saco Para Lixo 15 L Reforçado,129.4,,,,1,726,1,1,2023-05-17 22:44:12.660000
282,Caixa Com 12 Rolos De Saco Para Lixo 30 L Reforçado,211.0,,,,1,727,1,1,2023-05-17 22:44:12.660000
283,Caixa Com 12 Rolos De Saco Para Lixo 50 L Reforçado,349.3,,,,1,728,1,1,2023-05-17 22:44:12.660000
284,Caixa Com 12 Rolos De Saco Para Lixo 100 L Reforçado,253.3,,,,1,729,1,1,2023-05-17 22:44:12.660000
285,Caixa Com 12 Rolos De Saco Para Lixo 150 L Reforçado,206.3,,,,1,730,1,1,2023-05-17 22:44:12.660000
286,Caixa Com 12 Rolos De Saco Para Lixo 200 L Reforçado,297.5,,,,1,731,1,1,2023-05-17 22:44:12.660000
287,Kit Limpeza Hora de Cuidar da Roupa Santa Maria,57.8,,,,1,735,1,1,2023-05-17 22:44:12.660000
288,Kit Limpeza Queridinhos Santa Maria,75.5,,,,1,736,1,1,2023-05-17 22:44:12.660000
289,Kit Limpeza Essencial Santa Maria,110.2,,,,1,737,1,1,2023-05-17 22:44:12.660000
290,Kit Limpeza Casa Nova Santa Maria,149.3,,,,1,738,1,1,2023-05-17 22:44:12.660000
291,Kit Limpeza Banheiro Plim Santa Maria,91.8,,,,1,739,1,1,2023-05-17 22:44:12.660000
292,Kit Limpeza Lavando a Louça Santa Maria,44.6,,,,1,740,1,1,2023-05-17 22:44:12.660000
293,Kit Cabides Para Camisas Com 9 unidades Santa Maria,26.1,,,,1,741,1,1,2023-05-17 22:44:12.660000
294,Kit Cabides Para Camisas Com 18 unidades Santa Maria,52.3,,,,1,742,1,1,2023-05-17 22:44:12.660000
295,Kit Cabides Para Camisas Com 27 unidades Santa Maria,78.3,,,,1,743,1,1,2023-05-17 22:44:12.660000
296,"Kit Beleza Escovas De Cabelo Glam Hit Quadrada, Oval e Oblonga",69.0,,,,1,746,1,1,2023-05-17 22:44:12.660000
297,"Kit Beleza Acessórios Para Cabeleireiros Para Tintura Com Pote Para Tintura, Pincel Com Pente e Capa Termoplástica",29.4,,,,1,747,1,1,2023-05-17 22:44:12.660000
298,Kit Beleza Cílios Postiços Com Formatos e Tamanhos Diferentes,16.3,,,,1,748,1,1,2023-05-17 22:44:12.660000
299,"Kit Beleza Escovas de Cabelo Yellow Hit Tamanhos Variados 40, 35 e 25 mm",146.5,,,,1,749,1,1,2023-05-17 22:44:12.660000
300,Kit Beleza Escovas De Cabelo Para o Dia a Dia,84.0,,,,1,750,1,1,2023-05-17 22:44:12.660000
301,"Kit Beleza Escova de Cabelo Atria, Sirius e Adhara",128.8,,,,1,751,1,1,2023-05-17 22:44:12.660000
302,"Kit Beleza Escovas De Cabelo Spiral, Miss e Purple Hit",118.9,,,,1,752,1,1,2023-05-17 22:44:12.660000
303,"Kit Beleza Escovas De Cabelo Sensitive, Soft e Thermal Hit",129.6,,,,1,754,1,1,2023-05-17 22:44:12.660000
304,Kit Beleza Escovas De Cabelo Antares De Madeira,93.0,,,,1,755,1,1,2023-05-17 22:44:12.660000
305,Kit Beleza Escovas De Cabelo Antares Plástica,31.0,,,,1,756,1,1,2023-05-17 22:44:12.660000
306,Kit Beleza Escovas De Cabelo Antares De Madeira e Plástica,67.0,,,,1,757,1,1,2023-05-17 22:44:12.660000
307,Cílios Postiços Profissionais Com 2 Unidades Corpus,6.0,,,,1,270,1,1,2023-05-17 22:44:12.660000
308,Puff Para Maquiagem Com 4 Unidades Corpus,7.2,,,,1,271,1,1,2023-05-17 22:44:12.660000
309,Esponja Para Pancake Corretivo Base Com 2 Unidades Corpus,7.2,,,,1,272,1,1,2023-05-17 22:44:12.660000
310,Design Sobrancelhas Com 4 Tamanhos Corpus,6.0,,,,1,273,1,1,2023-05-17 22:44:12.660000
311,Pincel Para Pó Compacto Corpus,18.1,,,,1,274,1,1,2023-05-17 22:44:12.660000
312,Pincel Para Pentear e Escovar Sobrancelhas e Cílios Corpus,7.2,,,,1,275,1,1,2023-05-17 22:44:12.660000
313,Pincel Para Tintura Grande Corpus,4.8,,,,1,276,1,1,2023-05-17 22:44:12.660000
314,Pincel Para Tintura Formato Ideal Apoio Na Tigela Corpus,4.8,,,,1,277,1,1,2023-05-17 22:44:12.660000
315,Pincel De Barbear Corpus,14.5,,,,1,278,1,1,2023-05-17 22:44:12.660000
316,Pincel Para Coloração Corpus,4.8,,,,1,279,1,1,2023-05-17 22:44:12.660000
317,Pincel Com Pente Para Coloração Corpus,4.8,,,,1,280,1,1,2023-05-17 22:44:12.660000
318,Pincel Para Blush Corpus,13.3,,,,1,281,1,1,2023-05-17 22:44:12.660000
319,Pincel Chanfrado Para Blush Corpus,13.3,,,,1,282,1,1,2023-05-17 22:44:12.660000
320,Pincel Para Base Corretivo e Iluminador Corpus,16.0,,,,1,283,1,1,2023-05-17 22:44:12.660000
321,Pincel Grande Para Sombra Corpus,8.5,,,,1,284,1,1,2023-05-17 22:44:12.660000
322,Pincel Pequeno Para Sombra Corpus,9.7,,,,1,285,1,1,2023-05-17 22:44:12.660000
323,Pincel Para Lábios Corpus,7.2,,,,1,286,1,1,2023-05-17 22:44:12.660000
324,Pincel Duo Para Pó Compacto e Blush Corpus,17.5,,,,1,287,1,1,2023-05-17 22:44:12.660000
325,Pincel Duo Para Corretivo e Base Corpus,17.5,,,,1,288,1,1,2023-05-17 22:44:12.660000
326,Pincel Duo Para Sombra Corpus,8.4,,,,1,289,1,1,2023-05-17 22:44:12.660000
327,Pincel Duo Para Sombra e Iluminadior Corpus,17.5,,,,1,290,1,1,2023-05-17 22:44:12.660000
328,Kit Banho para Cabelos Nature Com 1 Pente e 1 Turbante Atoalhado Corpus,29.7,,,,1,293,1,1,2023-05-17 22:44:12.660000
329,Escova Para Lavar e Massagear as Costas Nature,55.0,,,,1,294,1,1,2023-05-17 22:44:12.660000
330,Toalha Para Lavar e Massagear as Costas Nature Corpus,18.6,,,,1,295,1,1,2023-05-17 22:44:12.660000
331,Luva Para Lavar e Massagear a Pele Nature Corpus,16.4,,,,1,296,1,1,2023-05-17 22:44:12.660000
332,Esponja Para Banho de Nylon Corpus,5.0,,,,1,297,1,1,2023-05-17 22:44:12.660000
333,Esponja Esfrelux Limpa Fácil Sem Cabo,18.1,,,,1,394,1,1,2023-05-17 22:44:12.660000
334,Touca Para Banho Sanfonada Com 3 Unidades Corpus,6.0,,,,1,299,1,1,2023-05-17 22:44:12.660000
335,Touca Plástica Para Banho Corpus,8.5,,,,1,300,1,1,2023-05-17 22:44:12.660000
336,Grampo Para Cabelo Moreno Número 5 Corpus,5.4,,,,1,301,1,1,2023-05-17 22:44:12.660000
337,Lava Louças Líquido Esfrelux Coco De 500 ml,2.2,,,,1,129,1,1,2023-05-17 22:44:12.660000
338,Esponja Esfrelux Multiuso Mega Bloco,6.6,,,,1,130,1,1,2023-05-17 22:44:12.660000
339,Limpador Multiuso Esfrelux Classic 500 ml,3.8,,,,1,131,1,1,2023-05-17 22:44:12.660000
340,inativo,108.9,,,,1,2,1,1,2023-05-17 22:44:12.660000
341,Limpador Multiuso Esfrelux Campestre 500 ml,3.8,,,,1,132,1,1,2023-05-17 22:44:12.660000
342,inativo 1,108.9,,,,1,3,1,1,2023-05-17 22:44:12.660000
343,Limpador Multiuso Esfrelux Forte 500 ml,4.0,,,,1,133,1,1,2023-05-17 22:44:12.660000
344,Vassoura Lava Casa Plástica Uso Externo Com Cabo Santa Maria-A,21.8,,,,1,5,1,1,2023-05-17 22:44:12.660000
345,Vassoura Phenix Multiuso Com Cabo Santa Maria,16.99,,,,1,6,1,1,2023-05-17 22:44:12.660000
346,Lava Roupas Líquido Esfrelux 1 Litro,9.7,,,,1,134,1,1,2023-05-17 22:44:12.660000
347,Vassoura Tutty Multiuso Com Cabo Santa Maria A,21.8,,,,1,7,1,1,2023-05-17 22:44:12.660000
348,Lava Roupas Líquido Esfrelux 2 Litros,15.8,,,,1,135,1,1,2023-05-17 22:44:12.660000
349,Vassoura Varre Casa Uso Interno Com Cabo Santa Maria,23.0,,,,1,8,1,1,2023-05-17 22:44:12.660000
350,Flotador Multiuso Esfrelux 2 litros,16.9,,,,1,136,1,1,2023-05-17 22:44:12.660000
351,Rodo Multiuso Com Cabo 30 Cm A,19.3,,,,1,9,1,1,2023-05-17 22:44:12.660000
352,Amaciante Amacilux Toque de Pureza 2 litros,6.6,,,,1,137,1,1,2023-05-17 22:44:12.660000
353,Rodo Multiuso Com Cabo 40 Cm,20.6,,,,1,10,1,1,2023-05-17 22:44:12.660000
354,Amaciante Amacilux Aconchego e Conforto 2 litros,6.6,,,,1,138,1,1,2023-05-17 22:44:12.660000
355,Rodo Multiuso Com Cabo 60 Cm A,1.1,,,,1,11,1,1,2023-05-17 22:44:12.660000
356,Amaciante Amacilux Maciez e Carinho 2 litros,6.6,,,,1,139,1,1,2023-05-17 22:44:12.660000
